name,category,unit,calories,protein_g,carbs_g,fat_g,fibre_g,allergen_tags,source,source_code,data_confidence
"Alaska Pollock, raw",Proteins,100g,78.48,17.33,0.06,0.99,0.0,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2768188,measured
"Almond butter, creamy",Proteins,100g,645.46,20.79,21.24,53.04,9.72,"Dairy, Nuts",USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2262074,measured
"Apples, fuji, with skin, raw",Fruits,100g,65.0,0.15,15.7,0.16,2.1,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_1105897,measured
"Apples, fuji, with skin, raw",Fruits,100g,64.66,0.15,15.65,0.16,2.08,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_1750340,measured
"Apples, gala, with skin, raw",Fruits,100g,61.0,0.13,14.8,0.15,2.1,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_1105781,measured
"Apples, gala, with skin, raw",Fruits,100g,60.95,0.13,14.77,0.15,2.11,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_1750341,measured
"Apples, granny smith, with skin, raw",Fruits,100g,59.0,0.27,14.2,0.14,2.5,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_1105664,measured
"Apples, granny smith, with skin, raw",Fruits,100g,58.87,0.27,14.14,0.14,2.51,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_1750342,measured
"Apples, honeycrisp, with skin, raw",Fruits,100g,60.0,0.1,14.7,0.1,1.7,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_1105547,measured
"Apples, honeycrisp, with skin, raw",Fruits,100g,60.03,0.1,14.68,0.1,1.72,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_1750343,measured
"Apples, red delicious, with skin, raw",Fruits,100g,62.0,0.19,14.8,0.21,2.0,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_1105430,measured
"Apples, red delicious, with skin, raw",Fruits,100g,61.79,0.19,14.78,0.21,2.04,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_1750339,measured
"Apricot, with skin, raw",Fruits,100g,48.44,0.96,10.24,0.4,1.51,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710815,measured
"Arugula, baby, raw",Vegetables,100g,30.99,1.65,5.37,0.32,2.28,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710822,measured
"Asparagus, green, raw",Vegetables,100g,28.1,1.44,5.1,0.22,1.88,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710823,measured
"Bananas, overripe, raw",Fruits,100g,85.0,0.73,20.1,0.22,1.7,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_790774,measured
"Bananas, ripe and slightly ripe, raw",Fruits,100g,97.0,0.74,23.0,0.29,1.7,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_790991,measured
"Beans, black, canned, sodium added, drained and rinsed",Legumes,100g,118.36,6.91,19.81,1.27,6.69,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2644285,measured
"Beans, cannellini, canned, sodium added, drained and rinsed",Legumes,100g,115.44,7.41,18.82,1.17,6.76,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2644287,measured
"Beans, great northern, canned, sodium added, drained and rinsed",Legumes,100g,116.83,7.03,19.33,1.27,6.91,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2644294,measured
"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",Legumes,100g,126.62,7.8,21.03,1.26,7.01,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2644289,measured
"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",Legumes,100g,126.7,7.31,21.45,1.3,7.4,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2644290,measured
"Beans, navy, canned, sodium added, drained and rinsed",Legumes,100g,118.79,6.57,19.98,1.4,6.85,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2644286,measured
"Beans, pinto, canned, sodium added, drained and rinsed",Legumes,100g,116.57,6.69,19.6,1.27,7.09,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2644292,measured
"Beans, snap, green, raw",Vegetables,100g,40.0,1.97,7.41,0.28,3.01,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2346400,measured
"Beet greens, raw",Vegetables,100g,26.37,1.61,4.66,0.14,2.58,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2747653,measured
"Beets, raw",Vegetables,100g,44.62,1.69,8.79,0.3,3.12,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2685576,measured
"Blackeye pea, canned, sodium added, drained and rinsed",Legumes,100g,116.03,6.92,19.17,1.3,4.34,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2644293,measured
"Bread, white, commercially prepared",Grains,100g,270.0,9.43,49.2,3.59,2.3,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_325871,measured
"Bread, whole-wheat, commercially prepared",Grains,100g,254.0,12.3,43.1,3.55,6.0,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_335240,measured
"Broccoli, raw",Vegetables,100g,31.0,2.57,6.27,0.34,2.4,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_747447,measured
"Broccoli, raw",Vegetables,100g,32.0,2.57,6.29,0.34,2.4,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_321900,measured
"Brussels sprouts, raw",Vegetables,100g,59.48,3.98,9.62,0.56,4.78,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2685575,measured
"Buckwheat, whole grain",Grains,100g,356.14,11.07,71.13,3.04,4.05,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2512378,measured
"Bulgur, dry, raw",Grains,100g,372.34,11.76,75.88,2.42,11.72,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710820,measured
"Cabbage, bok choy, raw",Vegetables,100g,20.26,1.02,3.51,0.23,1.26,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2685572,measured
"Carrots, baby, raw",Vegetables,100g,40.77,0.8,9.08,0.14,2.69,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2258587,measured
"Carrots, frozen, unprepared",Vegetables,100g,37.0,0.81,7.92,0.47,3.2,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_746764,measured
"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",Vegetables,100g,37.0,0.81,7.92,0.47,3.2,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_326458,measured
"Carrots, mature, raw",Vegetables,100g,47.99,0.94,10.27,0.35,3.1,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2258586,measured
"Cauliflower, raw",Vegetables,100g,27.59,1.64,4.72,0.24,1.95,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2685573,measured
"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",Legumes,100g,137.22,7.02,20.32,3.1,5.92,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2644288,measured
"Collards, raw",Vegetables,100g,46.89,2.97,7.02,0.77,3.82,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2685574,measured
"Cookies, oatmeal, soft, with raisins",Grains,100g,430.0,5.79,69.6,14.3,3.3,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_333008,measured
"Corn flour, masa harina, white or yellow, dry, raw",Grains,100g,376.07,7.56,76.69,4.34,7.04,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710835,measured
"Corn, sweet, yellow and white kernels,  fresh, raw",Vegetables,100g,84.55,2.79,14.69,1.63,2.43,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710826,measured
"Eggplant, raw",Vegetables,100g,26.08,0.85,5.4,0.12,2.45,Eggs,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2685577,measured
"Eggs, Grade A, Large, egg whole",Dairy,100g,148.0,12.4,0.96,9.96,0.0,Eggs,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_748967,measured
"Einkorn, grain, dry, raw",Grains,100g,369.38,15.12,68.65,3.81,8.91,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710827,measured
"Farro, pearled, dry, raw",Grains,100g,367.01,12.64,72.13,3.1,7.31,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710828,measured
"Fennel, bulb, raw",Vegetables,100g,26.89,0.92,5.49,0.14,2.05,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2747655,measured
"Figs, dried, uncooked",Fruits,100g,249.0,3.3,63.9,0.92,9.8,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_326905,measured
"Flaxseed, ground",Proteins,100g,545.08,18.04,34.36,37.28,23.13,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2262075,measured
"Flour, 00",Grains,100g,357.06,11.4,74.45,1.52,2.66,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2003586,measured
